pair,base,quote,date
VICS/USDT,VICS,USDT,2025-09-13T09:13:42Z
FINBLOX/USDT,FINBLOX,USDT,2025-09-13T09:13:42Z
GSTOP/USDT,GSTOP,USDT,2025-09-13T09:13:42Z
LEO/USDT,LEO,USDT,2025-09-13T09:13:42Z
FORWARD/USDT,FORWARD,USDT,2025-09-13T09:13:42Z
FLAY/USDT,FLAY,USDT,2025-09-13T09:13:42Z
OGGYETH/USDT,OGGYETH,USDT,2025-09-13T09:13:42Z
GQ/USDT,GQ,USDT,2025-09-13T09:13:42Z
MASS/USDT,MASS,USDT,2025-09-13T09:13:42Z
CT/USDT,CT,USDT,2025-09-13T09:13:42Z
WALK/USDT,WALK,USDT,2025-09-13T09:13:42Z
DPR/USDT,DPR,USDT,2025-09-13T09:13:42Z
FUCOIN/USDT,FUCOIN,USDT,2025-09-13T09:13:42Z
MNEMO/USDT,MNEMO,USDT,2025-09-13T09:13:42Z
GENO/USDT,GENO,USDT,2025-09-13T09:13:42Z
OMN/USDT,OMN,USDT,2025-09-13T09:13:42Z
CROWN/USDT,CROWN,USDT,2025-09-13T09:13:42Z
INFOFI/USDT,INFOFI,USDT,2025-09-13T09:13:42Z
DRA/USDT,DRA,USDT,2025-09-13T09:13:42Z
UOS/USDT,UOS,USDT,2025-09-13T09:13:42Z
GTCOIN/USDT,GTCOIN,USDT,2025-09-13T09:13:42Z
XLS/USDT,XLS,USDT,2025-09-13T09:13:42Z
RENQ/USDT,RENQ,USDT,2025-09-13T09:13:42Z
CATE/USDT,CATE,USDT,2025-09-13T09:13:42Z
UPT/USDT,UPT,USDT,2025-09-13T09:13:42Z
MUDOL2/USDT,MUDOL2,USDT,2025-09-13T09:13:42Z
JSM/USDT,JSM,USDT,2025-09-13T09:13:42Z
GROW/USDT,GROW,USDT,2025-09-13T09:13:42Z
ZRS/USDT,ZRS,USDT,2025-09-13T09:13:42Z
YAKA/USDT,YAKA,USDT,2025-09-13T09:13:42Z
IONX/USDT,IONX,USDT,2025-09-13T09:13:42Z
LMCSWAP/USDT,LMCSWAP,USDT,2025-09-13T09:13:42Z
PKTC/USDT,PKTC,USDT,2025-09-13T09:13:42Z
KDG/USDT,KDG,USDT,2025-09-13T09:13:42Z
HQ/USDT,HQ,USDT,2025-09-13T09:13:42Z
BITCAT/USDT,BITCAT,USDT,2025-09-13T09:13:42Z
PMG/USDT,PMG,USDT,2025-09-13T09:13:42Z
AE/USDT,AE,USDT,2025-09-13T09:13:42Z
RETARDIO/USDT,RETARDIO,USDT,2025-09-13T09:13:42Z
SQUAD/USDT,SQUAD,USDT,2025-09-13T09:13:42Z
ELK/USDT,ELK,USDT,2025-09-13T09:13:42Z
NEBL/USDT,NEBL,USDT,2025-09-13T09:13:42Z
EXS/USDT,EXS,USDT,2025-09-13T09:13:42Z
EON/USDT,EON,USDT,2025-09-13T09:13:42Z
AJUN/USDT,AJUN,USDT,2025-09-13T09:13:42Z
MCB/USDT,MCB,USDT,2025-09-13T09:13:42Z
OCMT/USDT,OCMT,USDT,2025-09-13T09:13:42Z
AGNT/USDT,AGNT,USDT,2025-09-13T09:13:42Z
CRTS/USDT,CRTS,USDT,2025-09-13T09:13:42Z
LBTC/USDT,LBTC,USDT,2025-09-13T09:13:42Z
GGMT/USDT,GGMT,USDT,2025-09-13T09:13:42Z
STAGE/USDT,STAGE,USDT,2025-09-13T09:13:42Z
SCAM/USDT,SCAM,USDT,2025-09-13T09:13:42Z
FWC/USDT,FWC,USDT,2025-09-13T09:13:42Z
MPAA/USDT,MPAA,USDT,2025-09-13T09:13:42Z
EARNM/USDT,EARNM,USDT,2025-09-13T09:13:42Z
LCAT/USDT,LCAT,USDT,2025-09-13T09:13:42Z
HENLO/USDT,HENLO,USDT,2025-09-13T09:13:42Z
LBTC1/USDT,LBTC1,USDT,2025-09-13T11:42:12Z
