pair,base,quote,status,last_updated
AGIBNB,AGI,BNB,BREAK,2025-09-16 14:48:48
NXSBTC,NXS,BTC,BREAK,2025-09-16 14:48:48
NXSETH,NXS,ETH,BREAK,2025-09-16 14:48:48
NXSBNB,NXS,BNB,BREAK,2025-09-16 14:48:48
ENJBNB,ENJ,BNB,BREAK,2025-09-16 14:48:48
DATAETH,DATA,ETH,BREAK,2025-09-16 14:48:48
SCBTC,SC,BTC,BREAK,2025-09-16 14:48:48
NPXSBTC,NPXS,BTC,BREAK,2025-09-16 14:48:48
NPXSETH,NPXS,ETH,BREAK,2025-09-16 14:48:48
VENUSDT,VEN,USDT,BREAK,2025-09-16 14:48:48
KEYBTC,KEY,BTC,BREAK,2025-09-16 14:48:48
KEYETH,KEY,ETH,BREAK,2025-09-16 14:48:48
NASBTC,NAS,BTC,BREAK,2025-09-16 14:48:48
NASETH,NAS,ETH,BREAK,2025-09-16 14:48:48
NASBNB,NAS,BNB,BREAK,2025-09-16 14:48:48
MFTBTC,MFT,BTC,BREAK,2025-09-16 14:48:48
MFTETH,MFT,ETH,BREAK,2025-09-16 14:48:48
MFTBNB,MFT,BNB,BREAK,2025-09-16 14:48:48
DENTBTC,DENT,BTC,BREAK,2025-09-16 14:48:48
ARDRETH,ARDR,ETH,BREAK,2025-09-16 14:48:48
ARDRBNB,ARDR,BNB,BREAK,2025-09-16 14:48:48
NULSUSDT,NULS,USDT,BREAK,2025-09-16 14:48:48
HOTBTC,HOT,BTC,BREAK,2025-09-16 14:48:48
DOCKBTC,DOCK,BTC,BREAK,2025-09-16 14:48:48
DOCKETH,DOCK,ETH,BREAK,2025-09-16 14:48:48
POLYBTC,POLY,BTC,BREAK,2025-09-16 14:48:48
POLYBNB,POLY,BNB,BREAK,2025-09-16 14:48:48
PHXBTC,PHX,BTC,BREAK,2025-09-16 14:48:48
PHXETH,PHX,ETH,BREAK,2025-09-16 14:48:48
PHXBNB,PHX,BNB,BREAK,2025-09-16 14:48:48
HCBTC,HC,BTC,BREAK,2025-09-16 14:48:48
HCETH,HC,ETH,BREAK,2025-09-16 14:48:48
GOBTC,GO,BTC,BREAK,2025-09-16 14:48:48
GOBNB,GO,BNB,BREAK,2025-09-16 14:48:48
PAXBTC,PAX,BTC,BREAK,2025-09-16 14:48:48
PAXBNB,PAX,BNB,BREAK,2025-09-16 14:48:48
PAXUSDT,PAX,USDT,BREAK,2025-09-16 14:48:48
PAXETH,PAX,ETH,BREAK,2025-09-16 14:48:48
DCRBTC,DCR,BTC,BREAK,2025-09-16 14:48:48
DCRBNB,DCR,BNB,BREAK,2025-09-16 14:48:48
USDCBNB,USDC,BNB,BREAK,2025-09-16 14:48:48
MITHBTC,MITH,BTC,BREAK,2025-09-16 14:48:48
MITHBNB,MITH,BNB,BREAK,2025-09-16 14:48:48
BCHABCBTC,BCHABC,BTC,BREAK,2025-09-16 14:48:48
BCHSVBTC,BCHSV,BTC,BREAK,2025-09-16 14:48:48
BCHABCUSDT,BCHABC,USDT,BREAK,2025-09-16 14:48:48
BCHSVUSDT,BCHSV,USDT,BREAK,2025-09-16 14:48:48
BNBPAX,BNB,PAX,BREAK,2025-09-16 14:48:48
BTCPAX,BTC,PAX,BREAK,2025-09-16 14:48:48
ETHPAX,ETH,PAX,BREAK,2025-09-16 14:48:48
